Código;Descrição;Unidade;Valor unitário;Favorita
5000000658;RET TRANSFORMADOR POTENCIAL (TP) LM;UN;633,92;
5000000658;INST MEDICAO FISCAL TRAFO LM;UN;378,63;
5000000658;RET MEDICAO FISCAL TRAFO LM;UN;272,12;
5000000658;INST POSTE CONCRETO ATE 14M LM;UN;2128,43;
5000000658;RET POSTE CONCRETO ATE 14M LM;UN;841,84;
5000000658;INST POSTE CONCRETO 15 A 22M LM;UN;3159,47;
5000000658;RET POSTE CONCRETO 15 A 22M LM;UN;1648,42;
5000000658;INST POSTE CONCRETO MAIOR/IGUAL 23M LM;UN;4054,3;
5000000658;RET POSTE CONCRETO MAIOR/IGUAL 23M LM;UN;1888,92;
5000000658;INST POSTE DE FIBRA 7 A 19M LM;UN;1419,55;
5000000658;RET POSTE DE FIBRA 7 A 19M LM;UN;723,82;
5000000658;INST POSTE DE FIBRA MAIOR/IGUAL 20M LM;UN;2693,88;
5000000658;RET POSTE DE FIBRA MAIOR/IGUAL 20M LM;UN;1284,43;
5000000658;RET POSTE DE MADEIRA LM;UN;723,82;
5000000658;INST POSTE MET QUAD 5 OU 7M PADRAO LM;UN;327,56;
5000000658;RET POSTE MET QUAD 5 OU 7M PADRAO LM;UN;196,52;
5000000658;INST POSTE MET QUAD 7M RD LM;UN;1145,07;
5000000658;RET POSTE MET QUAD 7M RD LM;UN;196,52;
5000000658;ADICIONAL RETIRAR POSTE BASE CONCRETO LM;UN;410,6;
5000000658;ADICIONAL EXEC MAN ATIV EQUIP/POSTE LM;UN;1037,38;
5000000658;APRUMAR POSTE CONC/FIBRA LM;UN;787,51;
5000000658;RESTAURAR PASSEIO SIMPLES CIMENTADO LM;UN;674,43;
5000000658;RESTAURAR PASSEIO ESPECIAL PEDRA PORT LM;UN;974,48;
5000000658;ABRIR CAVA ROCHA C/ EQUIPAMENTO ESPEC LM;UN;1993,26;
5000000658;ABRIR CAVA ROCHA C/ EXPLOSIVO LM;UN;2926,27;
5000000658;BASE CONCRETO 1CAMADA PARA POSTE LM;UN;1218,76;
5000000658;BASE CONCRETO 2CAMADAS PARA POSTE LM;UN;1748,97;
5000000658;BASE CONCRETO C/ MANILHA PARA POSTE LM;UN;2081,1;
5000000658;BASE COM BRITA LM;UN;970,81;
5000000658;INST ESTAI ANCORA LM;UN;1110,58;
5000000658;RET ESTAI ANCORA LM;UN;629,94;
5000000658;INST ESTAI SUBSOLO BASE REFORCADA LM;UN;1240,21;
5000000658;INST ESTAI AEREO LM;UN;783,55;
5000000658;RET ESTAI AEREO LM;UN;501,62;
5000000658;TENSIONAR ESTAI LM;UN;91,38;
5000000658;INST PLACA IDENTIFICACAO COMPONENTE LM;UN;97,29;
5000000658;RETIRAR ABELHAS E INSETOS LM;UN;787,51;
5000000658;PINTAR NUMERACAO POSTE LM;UN;77,29;
5000000658;ARRASTAR POSTE/MATERIAL MANUAL LM;UN;1056,16;
5000000658;DEMARCAR POSTE LM;UN;116,18;
5000000658;LIMPAR/ACEIRAR AO REDOR POSTE/ESTAI LM;UN;70,66;
5000000658;INST COND NU COBRE > 50MM² LM;UN;8,59;
5000000658;RET COND NU COBRE > 50MM² LM;UN;4,88;
5000000658;INST COND NU COBRE <= 50MM² LM;UN;6,85;
5000000658;RET COND NU COBRE <= 50MM² LM;UN;3,32;
5000000658;INST COND NU ALUMINIO > 1/0 LM;UN;10,74;
5000000658;RET COND NU ALUMINIO > 1/0 LM;UN;4,11;
5000000658;INST COND NU ALUMINIO <= 1/0 LM;UN;8,42;
5000000658;RET COND NU ALUMINIO <= 1/0 SRD;UN;0,76;
5000000658;INST EMENDA COND NU AL/CU LM;UN;161,22;
5000000658;TENSIONAR COND NU COBRE > 50MM² LM;UN;387,45;
5000000658;TENSIONAR COND NU COBRE <= 50MM² LM;UN;310,45;
5000000658;TENSIONAR COND NU ALUMINIO > 1/0 LM;UN;475,36;
5000000658;TENSIONAR COND NU ALUMINIO <= 1/0 LM;UN;340,36;
5000000658;INST CONECTOR EM CONDUTOR LM;UN;87,2;
5000000658;RET CONECTOR EM CONDUTOR LM;UN;125,97;
5000000658;INST JUMPER EM CONDUTOR LM;UN;108,26;
5000000658;RET JUMPER EM CONDUTOR LM;UN;64,71;
5000000658;INST PASSAGEM DE NEUTRO LM;UN;502,24;
5000000658;RET PASSAGEM DE NEUTRO LM;UN;289,72;
5000000658;INST AMARRACAO COND NU/MULTIP/PROTEG LM;UN;294,33;
5000000658;INST FLY TAP/CRUZAM AEREO COND NU LM;UN;187,05;
5000000658;RET FLY TAP /CRUZAM AEREO COND NU LM;UN;112,96;
5000000658;ATEND EMERG ESPACADOR/AFAST REDE PRI/SEC;UN;86,07;
5000000658;RET ESPACADOR/AFASTADOR REDE PRI/SEC LM;UN;51,31;
5000000658;INST ESFERA SINALIZACAO RD LM;UN;410,13;
5000000658;RET ESFERA DE SINALIZACAO RD LM;UN;220,47;
5000000658;RETIRAR OBJETO ESTRANHO REDE LM;UN;112,64;
5000000658;INST ESTRIBO OU GRAMPO LINHA VIVA RD LM;UN;110,2;
5000000658;RET ESTRIBO OU GRAMPO LINHA VIVA RD LM;UN;38,71;
5000000658;INST MUFLA RD CONDUTOR LM;UN;342,37;
5000000658;RET MUFLA RD CONDUTOR LM;UN;256,8;
5000000658;VERIFICAR SEQUENCIA DE FASE(BT OU MT) LM;UN;236,32;
5000000658;INST ESTRUTURA SECUNDARIA LM;UN;285,92;
5000000658;RET ESTRUTURA SECUNDARIA LM;UN;285,92;
5000000658;INST ESTRUT SECUNDARIA CRUZETA BT LM;UN;756,08;
5000000658;RET ESTRUT SECUNDARIA CRUZETA BT LM;UN;385,5;
5000000658;INST ESTR PRI 2/3F SUS/PAS SP CRUZ SP LM;UN;788,64;
5000000658;RET ESTR PRI 2/3F SUS/PAS SP CRUZ SP LM;UN;591,36;
5000000658;INST ESTR PRI 2/3F SUS/PAS DP CRUZ DP LM;UN;328,79;
5000000658;RET ESTR PRI 2/3F SUS/PAS DP CRUZ DP LM;UN;246,59;
5000000658;INST ESTR PRI 2/3F ANC/AMA SP CRUZ DP LM;UN;1293,25;
5000000658;RET ESTR PRI 2/3F ANC/AMA SP CRUZ DP LM;UN;905,29;
5000000658;INST ESTR PRI 2/3F ANC/AMA DP CRUZ DP LM;UN;1839,66;
5000000658;RET ESTR PRI 2/3F ANC/AMA DP CRUZ DP LM;UN;1287,71;
5000000658;RET ESTR PRI 1F SUSP/PAS SP S/CRUZ LM;UN;238,26;
5000000658;INST ESTR PRI 1F SUSP/PAS DP S/CRUZ LM;UN;440,93;
5000000658;RET ESTR PRI 1F SUSP/PAS DP S/CRUZ LM;UN;301,8;
5000000658;INST ESTR PRI 1F ANC/AMA SP S/CRUZ LM;UN;504,78;
5000000658;RET ESTR PRI 1F ANC/AMA SP S/CRUZ LM;UN;349,45;
5000000658;INST ESTR PRI 1F ANC/AMA DP S/CRUZ LM;UN;634,73;
5000000658;RET ESTR PRI 1F ANC/AMA DP S/CRUZ LM;UN;428,86;
5000000658;INST ESTR PRI 2/3F SUS/PAS SP S/CRUZ LM;UN;572,78;
5000000658;RET ESTR PRI 2/3F SUS/PAS SP S/CRUZ LM;UN;302,26;
5000000658;INST ESTR PRI 2/3F ANC/AMA SP S/CRUZ LM;UN;823,89;
5000000658;RET ESTR PRI 2/3F ANC/AMA SP S/CRUZ LM;UN;418,23;
5000000658;INST ESTR PRI 2/3F ANC/AMA DP S/CRUZ LM;UN;1105,2;
5000000658;RET ESTR PRI 2/3F ANC/AMA DP S/CRUZ LM;UN;552,27;
5000000658;INST ESTR PRI 3F ANC/AMA CRUZ DP HT LM;UN;1988,48;
5000000658;RET ESTR PRI 3F ANC/AMA CRUZ DP HT LM;UN;1543,58;
5000000658;INST ESTR PRI 3F ANC/AMA S/CRUZ HTE LM;UN;1786,13;
5000000658;RET ESTR PRI 3F ANC/AMA S/CRUZ HTE LM;UN;1389,04;
5000000658;NIVELAR CRUZETA LM;UN;177,3;
5000000658;INST ISOLADOR ROLDANA LM;UN;81,79;
5000000658;RET ISOLADOR ROLDANA LM;UN;81,79;
5000000658;INST ISOLADOR PINO/PILAR LM;UN;365,34;
5000000658;RET ISOLADOR PINO/PILAR LM;UN;365,34;
5000000658;INST ISOLAD DISCO/ANCORAGEM LM;UN;401,7;
5000000658;RET ISOLAD DISCO/ANCORAGEM LM;UN;253,04;
5000000658;INST PARA-RAIOS BT LM;UN;125,32;
5000000658;RET PARA-RAIOS BT LM;UN;86,15;
5000000658;INST PARA-RAIOS MT LM;UN;163,49;
5000000658;RET PARA-RAIOS MT LM;UN;101,38;
5000000658;INST ESTR CP PARA-RAIOS MT LM;UN;1152,53;
5000000658;RET ESTR CP PARA-RAIOS MT LM;UN;631,22;
5000000658;INST COND 2PLEX BT 1X10(10)-1X35(35) LM;UN;19,74;
5000000658;RET COND 2PLEX BT 1X10(10)-1X35(35) LM;UN;7,43;
5000000658;INST COND 3PLEX BT 2X10(10)-2X35(35) LM;UN;26,77;
5000000658;RET COND 3PLEX BT 2X10(10)-2X35(35) LM;UN;7,43;
5000000658;INST COND 4PLEX BT 3X10(10)-3X120(70)SRD;UN;10,74;
5000000658;RET COND 4PLEX BT 3X10(10)-3X120(70) LM;UN;7,43;
5000000658;"INST COND ISOL MT ATE 3X185MM²+3/8"" LM";UN;37,91;
5000000658;"RET COND ISOL MT ATE 3X185MM²+3/8"" LM";UN;6,85;
